SOURCEURL,Actor1Code,Actor1Name,Actor1EthnicCode,Actor2Code,Actor2Name,EventCode,EventRootCode,EventBaseCode,GoldsteinScale,AvgTone
https://www.mlbtraderumors.com/players/wes-benjamin,"['USA', nan]","['UNITED STATES', nan]","[nan, nan]","[nan, 'USA']","[nan, 'UNITED STATES']","[833, 30]","[8, 3]","[83, 30]","[5.0, 4.0]","[-0.2092050209205, -0.2092050209205]"
https://www.mmafighting.com/2022/5/24/23138881/this-time-im-scared-kevin-holland-reveals-latest-superheroics-after-rescuing-driver-tractor-trailer,"['USA', 'NLD', 'NLD', 'NLD', 'NLD', 'USA', 'USA']","['AUSTIN', 'HOLLAND', 'HOLLAND', 'HOLLAND', 'HOLLAND', 'UNITED STATES', 'UNITED STATES']","[nan, nan, nan, nan, nan, nan, nan]","['NLD', 'UAF', 'USA', 'USA', 'UAF', 'UAF', 'UAF']","['HOLLAND', 'FIGHTER', 'AUSTIN', 'UNITED STATES', 'FIGHTER', 'FIGHTER', 'FIGHTER']","[42, 72, 43, 72, 20, 20, 72]","[4, 7, 4, 7, 2, 2, 7]","[42, 72, 43, 72, 20, 20, 72]","[1.9, 8.3, 2.8, 8.3, 3.0, 3.0, 8.3]","[-0.81206496519721, -0.81206496519721, -0.81206496519721, -0.81206496519721, -0.81206496519721, -0.81206496519721, -0.81206496519721]"
https://www.mmafighting.com/2022/5/24/23139022/fighter-vs-writer-kevin-holland-latest-heroics-logan-storley-responds-michael-venom-page-scott-coker,"['NLD', 'NLD']","['HOLLAND', 'HOLLAND']","[nan, nan]","['USA', 'USA']","['TEXAS', 'TEXAS']","[73, 874]","[7, 8]","[73, 87]","[7.4, 10.0]","[-1.3953488372093, -1.3953488372093]"
https://www.mmafighting.com/2022/6/18/23171149/adrian-yanez-didnt-need-extra-chip-from-tony-kelleys-controversial-cornering-ahead-of-ufc-austin,"['BRA', 'BRA']","['BRAZIL', 'BRAZIL']","[nan, nan]","[nan, nan]","[nan, nan]","[20, 10]","[2, 1]","[20, 10]","[3.0, 0.0]","[-0.55020632737276, -0.55020632737276]"
https://www.mmafighting.com/2022/6/18/23174271/josh-emmett-vs-calvin-kattar-official-ufc-austin-scorecard,"['JUD', 'USA', 'USA']","['JUDGE', 'UNITED STATES', 'UNITED STATES']","[nan, nan, nan]","[nan, nan, 'JUD']","[nan, nan, 'JUDGE']","[110, 874, 110]","[11, 8, 11]","[110, 87, 110]","[-2.0, 10.0, -2.0]","[-5.35545212236941, -7.09178606894597, -5.35545212236941]"
https://www.mmafighting.com/2022/6/21/23177038/texas-commission-explains-why-joaquin-buckleys-ufc-austin-win-was-ruled-third-round-tko,['MCOELI'],['ALBERT'],[nan],['HLH'],['DOCTOR'],[20],[2],[20],[3.0],[-0.53333333333333]
https://www.mmafighting.com/2022/6/24/23181123/morning-report-adrian-yanez-ufc-staff-was-telling-me-to-f-up-tony-kelley-at-ufc-austin-mma,['BRA'],['BRAZIL'],[nan],[nan],[nan],[10],[1],[10],[0.0],[-0.83263946711074]
https://www.mmamania.com/2022/5/24/23139598/scared-ufc-fighter-rescues-driver-overturned-rig-truck-going-to-blow-up-mma,"['USA', 'UAF', 'EDU']","['TEXAS', 'FIGHTER', 'SCHOOL']","[nan, nan, nan]","['NLD', nan, 'NLD']","['HOLLAND', nan, 'HOLLAND']","[173, 73, 10]","[17, 7, 1]","[173, 73, 10]","[-5.0, 7.4, 0.0]","[-2.3696682464455, -2.3696682464455, -2.3696682464455]"
https://www.mmamania.com/2022/6/18/23174127/ufc-austin-results-albert-duraev-joaquin-buckley-espn-mma,"['USA', 'HLH', 'USA', 'USA']","['UNITED STATES', 'DOCTOR', 'UNITED STATES', 'AUSTIN']","[nan, nan, nan, nan]","[nan, 'USA', nan, 'HLH']","[nan, 'AUSTIN', nan, 'DOCTOR']","[183, 43, 80, 42]","[18, 4, 8, 4]","[183, 43, 80, 42]","[-10.0, 2.8, 5.0, 1.9]","[-4.7945205479452, -4.7945205479452, -1.07864943726095, -4.7945205479452]"
https://www.mmamania.com/2022/6/18/23174135/ufc-austin-results-kevin-holland-tim-means-espn-mma,"[nan, 'NLD', 'USA', 'NLD', 'USA', 'USA']","[nan, 'HOLLAND', 'AUSTIN', 'HOLLAND', 'UNITED STATES', 'AUSTIN']","[nan, nan, nan, nan, nan, nan]","['NLD', nan, 'NLD', 'USA', 'NLD', nan]","['HOLLAND', nan, 'HOLLAND', 'UNITED STATES', 'HOLLAND', nan]","[42, 43, 180, 43, 42, 180]","[4, 4, 18, 4, 4, 18]","[42, 43, 180, 43, 42, 180]","[1.9, 2.8, -9.0, 2.8, 1.9, -9.0]","[-2.99625468164794, -2.99625468164794, -2.99625468164794, -2.99625468164794, -2.99625468164794, -4.21241305510968]"
