day,Actor2Code_counts,count
4,USACOP,7
4,MED,4
4,COP,19
4,MIL,10
4,USAGOV,7
4,CRM,2
4,USAHRI,2
4,JEW,1
4,REB,2
4,PTY,1
4,RAD,1
4,JUD,6
4,LAB,2
4,CHN,2
4,UAF,1
4,GBR,1
4,ELI,2
4,AFR,1
4,JPN,4
4,CVL,6
5,USA,32
5,OPP,5
5,GOV,7
5,USAGOV,5
5,USAOPP,2
5,CVL,6
5,USAMIL,1
5,GOVMIL,1
5,UAF,2
5,MNCUSA,1
5,DEU,1
5,LAB,1
5,JUD,6
5,COP,14
5,MIL,4
5,USAMED,2
5,USACOP,8
5,LEG,1
5,MED,7
5,USACVL,2
5,CAN,1
5,AFR,5
5,EDU,2
5,USAEDU,1
5,BUS,2
5,COPJUD,1
5,AUS,1
5,CVLCOP,1
6,OPP,11
6,USA,65
6,JUD,6
6,CVL,3
6,EUR,1
6,USACOP,5
6,COP,28
6,LAB,2
6,MIL,3
6,GOV,12
6,USAGOV,4
6,MED,5
6,USAEDU,1
6,AFR,2
6,EDU,6
6,CAN,1
6,USAMED,1
6,CRM,2
6,MEX,1
6,BUS,4
6,USAMIL,6
6,MNCUSAHLH,1
6,REB,1
6,USACVL,2
6,CHN,4
6,IRN,8
6,IRNGOV,2
6,CHE,1
6,CANBUS,1
6,USAELI,2
6,IRNCVL,2
6,IRNCOP,1
7,USAGOV,3
7,LEG,4
7,COP,20
7,OPP,9
7,JUD,7
7,HLH,6
7,CVL,10
7,USA,41
7,ITA,2
7,BUS,6
7,GOV,4
7,CAN,8
7,CHRPRO364,2
7,SYR,1
7,AFR,2
7,USAJUD,2
7,MIL,8
7,EDU,3
7,USAMIL,2
7,LAB,3
7,REB,2
7,VNM,2
7,MED,5
7,NMR,1
7,USACOP,5
7,USAOPP,3
7,USABUS,1
7,FRA,4
7,MNCUSAHLH,2
7,BOL,1
7,GBR,2
7,EDUEDU,1
8,USAGOV,3
8,COP,5
8,USA,19
8,GBRHLH,2
8,JUD,9
8,GOV,4
8,CVL,2
8,MNCUSAMED,1
8,CHN,1
8,IRL,2
8,EDU,2
8,MED,5
8,HLH,1
8,OPP,4
8,USAOPP,1
8,USACVL,2
8,LEG,1
8,USACOP,1
8,MIL,3
8,MNCUSAHLHCVL,1
9,COP,10
9,USAGOV,4
9,USA,17
9,TCD,1
9,EUR,1
9,CVL,1
9,OPP,3
9,USAHLH,2
9,LEG,1
9,USALEG,1
9,MIL,4
9,MNCUSAMED,1
9,BOL,1
9,CHR,2
9,USAMED,1
10,USAGOV,6
10,COP,20
10,USA,39
10,MED,3
10,BOL,1
10,BUS,3
10,AFR,2
10,NZL,1
10,USACOP,5
10,JUD,1
10,LEG,3
10,GOV,8
10,USAJUD,1
10,CVL,4
10,USACVL,2
10,MIL,2
10,USALEG,2
10,OPP,4
10,HLH,1
10,CRM,1
10,UAF,1
10,EDU,3
10,IGOUNO,2
10,MNCUSAMED,1
10,EUR,1
10,GBR,1
11,USA,25
11,HLH,2
11,RAD,2
11,BOL,2
11,COP,10
11,BUS,7
11,USAOPP,1
11,AFR,1
11,GOV,4
11,MED,2
11,USAGOV,1
11,JUD,1
