SOURCEURL,Actor1Code,Actor1Name,Actor1EthnicCode,Actor2Code,Actor2Name,EventCode,EventRootCode,EventBaseCode,GoldsteinScale,AvgTone
https://www.latimes.com/socal/daily-pilot/news/story/2023-08-04/decorated-trio-enters-surfers-hall-of-fame-in-huntington-beach,"['USA', 'BRA', 'BRA']","['UNITED STATES', 'BRAZIL', 'BRAZIL']","[nan, nan, nan]","['BRA', 'USA', nan]","['BRAZIL', 'UNITED STATES', nan]","[42, 43, 17]","[4, 4, 1]","[42, 43, 17]","[1.9, 2.8, 0.0]","[4.09041980624327, 4.09041980624327, 4.09041980624327]"
https://www.latimes.com/socal/daily-pilot/news/story/2023-08-18/sawdust-art-festival-holding-weekend-fundraiser-to-help-hawaii-wildfire-victims,"['USA', 'USA', 'USA', 'USA', 'haw', nan, 'USA', 'USA']","['HAWAII', 'NEVADA', 'HAWAII', 'HAWAII', 'HAWAIIAN', nan, 'UNITED STATES', 'NEVADA']","[nan, nan, nan, nan, 'haw', nan, nan, nan]","['CVL', nan, 'CVL', 'CVL', nan, 'USA', 'haw', 'haw']","['COMMUNITY', nan, 'COMMUNITY', 'COMMUNITY', nan, 'NEVADA', 'HAWAIIAN', 'HAWAIIAN']","[10, 71, 10, 10, 71, 43, 71, 71]","[1, 7, 1, 1, 7, 4, 7, 7]","[10, 71, 10, 10, 71, 43, 71, 71]","[0.0, 7.4, 0.0, 0.0, 7.4, 2.8, 7.4, 7.4]","[0.96286107290234, 0.96286107290234, -2.81785196882169, 0.96286107290234, 0.96286107290234, 0.96286107290234, 0.96286107290234, 0.96286107290234]"
https://www.latimes.com/socal/daily-pilot/news/story/2023-08-26/newport-beach-reaches-across-the-pacific-to-offer-a-hand-to-maui,['USA'],['LOS ANGELES'],[nan],[nan],[nan],[70],[7],[70],[7.0],[0.17761989342806]
https://www.latimes.com/world-nation/story/2023-08-09/las-vegas-funeral-home-accidentally-cremated-woman-lawsuit-claims,['USA'],['UNITED STATES'],[nan],[nan],[nan],[193],[19],[193],[-10.0],[-7.99180327868852]
https://www.latimes.com/world-nation/story/2023-08-11/maui-wildfires-lahaina-fire-death-toll,"['CVL', 'CVL', 'GOV', 'USA']","['RESIDENTS', 'RESIDENTS', 'STATE OFFICIAL', 'UNITED STATES']","[nan, nan, nan, nan]","['GOV', 'GOV', 'CVL', nan]","['STATE OFFICIAL', 'STATE OFFICIAL', 'RESIDENTS', nan]","[42, 80, 43, 193]","[4, 8, 4, 19]","[42, 80, 43, 193]","[1.9, 5.0, 2.8, -10.0]","[-5.37010159651669, -5.37010159651669, -5.37010159651669, -2.9369467310479]"
https://www.latimes.com/world-nation/story/2023-08-11/planning-a-trip-to-maui-this-month-what-you-need-to-know,"['haw', 'haw', 'USABUS', 'USABUS', 'USA', 'USA', nan, 'BUS', 'BUS']","['HAWAIIAN', 'HAWAIIAN', 'UNITED STATES', 'HAWAIIAN AIRLINES', 'UNITED STATES', 'HAWAII', nan, 'AIRLINE', 'BUSINESS']","['haw', 'haw', nan, nan, nan, nan, nan, nan, nan]","['USABUS', 'USA', 'USA', nan, 'haw', nan, 'BUS', nan, 'EDU']","['UNITED STATES', 'UNITED STATES', 'UNITED STATES', nan, 'HAWAIIAN', nan, 'AIRLINE', nan, 'SCHOOL']","[160, 43, 160, 160, 42, 161, 42, 43, 1712]","[16, 4, 16, 16, 4, 16, 4, 4, 17]","[160, 43, 160, 160, 42, 161, 42, 43, 171]","[-4.0, 2.8, -4.0, -4.0, 1.9, -4.0, 1.9, 2.8, -9.2]","[-2.54905039691473, -2.54905039691473, -2.54905039691473, -2.54905039691473, -2.54905039691473, -2.41137273608548, -2.54905039691473, -2.54905039691473, -2.73889227023737]"
https://www.latimes.com/world-nation/story/2023-08-12/how-maui-fire-became-a-monster,"['GOV', 'GOV']","['FIRE CHIEF', 'FIRE CHIEF']","[nan, nan]","['USA', nan]","['UNITED STATES', nan]","[1712, 1712]","[17, 17]","[171, 171]","[-9.2, -9.2]","[-5.52871871262896, -4.77608231473593]"
https://www.latimes.com/world-nation/story/2023-08-12/lahaina-cultural-treasures-up-in-flames,['CHN'],['CHINA'],[nan],[nan],[nan],[10],[1],[10],[0.0],[-1.08133194106044]
https://www.latimes.com/world-nation/story/2023-08-13/one-mans-escape-from-maui-fires,['COP'],['POLICE'],[nan],[nan],[nan],[874],[8],[87],[10.0],[-3.7509377344336]
https://www.latimes.com/world-nation/story/2023-08-14/search-efforts-intensify-as-death-toll-from-maui-fires-climbs,['CVL'],['ENGINEER'],[nan],[nan],[nan],[10],[1],[10],[0.0],[-5.10204081632653]
